Order ID,Order Date,Customer ID,Customer Name,Segment,Product category,Product Name,Quantity,Unit Price,Sales,Order Count per Customer
ORD001,01-01-2024,CUST001,Aaban,Consumer,Electronics,Smartphone,2,318,636,3
ORD002,02-01-2024,CUST002,Aabharan,Corporate,Electronics,Smartphone,2,268,536,2
ORD003,03-01-2024,CUST003,Aabhas,Corporate,Electronics,Headphones,1,396,396,2
ORD004,04-01-2024,CUST004,Aabhat,Corporate,Electronics,Headphones,1,302,302,3
ORD005,05-01-2024,CUST005,Aabheer,Consumer,Home,Lamp,1,148,148,2
ORD006,06-01-2024,CUST006,Aabheer,Corporate,Electronics,Laptop,1,408,408,3
ORD007,07-01-2024,CUST007,Abheer,Consumer,Clothing,Jeans,2,13,26,2
ORD008,08-01-2024,CUST008,Aabher,Consumer,Home,Table,5,166,830,3
ORD009,09-01-2024,CUST009,Aabi,Corporate,Electronics,Headphones,1,299,299,4
ORD010,10-01-2024,CUST010,Aabilesh,Consumer,Electronics,Laptop,1,468,468,1
ORD011,11-01-2024,CUST011,Aabir,Corporate,Electronics,Headphones,4,325,1300,2
ORD012,12-01-2024,CUST012,Aabishan,Corporate,Clothing,Jeans,3,24,72,2
ORD013,13-01-2024,CUST013,Aabishayan,Corporate,Clothing,Jeans,3,11,33,1
ORD014,14-01-2024,CUST014,Aacharya,Corporate,Clothing,T-Shirt,1,36,36,1
ORD015,15-01-2024,CUST015,Aachman,Corporate,Home,Lamp,5,138,690,1
ORD016,16-01-2024,CUST016,Aachuthan,Consumer,Electronics,Laptop,4,342,1368,3
ORD017,17-01-2024,CUST017,Aadalalagan,Corporate,Electronics,Headphones,5,384,1920,1
ORD018,18-01-2024,CUST018,Aadalarasan,Corporate,Home,Table,1,298,298,1
ORD019,19-01-2024,CUST019,Aadalazhagan,Corporate,Clothing,T-Shirt,4,48,192,1
ORD020,20-01-2024,CUST020,Aadamya,Corporate,Electronics,Headphones,5,481,2405,2
ORD021,21-01-2024,CUST021,Aadanyan,Consumer,Electronics,Smartphone,3,434,1302,3
ORD022,22-01-2024,CUST022,Aadarko,Corporate,Clothing,T-Shirt,4,49,196,1
ORD023,23-01-2024,CUST023,Aadarsh,Consumer,Electronics,Laptop,4,404,1616,1
ORD024,24-01-2024,CUST024,Aadarshan,Consumer,Clothing,Jacket,1,18,18,2
ORD025,25-01-2024,CUST025,Aadarshanan,Corporate,Clothing,Jeans,3,10,30,2
ORD026,26-01-2024,CUST026,Aadav,Corporate,Electronics,Laptop,4,319,1276,2
ORD027,27-01-2024,CUST027,Aadavan,Consumer,Clothing,Jeans,5,45,225,1
ORD028,28-01-2024,CUST028,Aadesh,Consumer,Electronics,Headphones,1,247,247,4
ORD029,29-01-2024,CUST029,Aadesh,Corporate,Electronics,Headphones,4,316,1264,1
ORD030,30-01-2024,CUST030,Adesh,Corporate,Home,Table,3,156,468,1
ORD031,31-01-2024,CUST031,Aadhan,Consumer,Electronics,Laptop,2,475,950,1
ORD032,01-02-2024,CUST032,Aadhar,Corporate,Home,Sofa,3,143,429,2
ORD033,02-02-2024,CUST033,Aadhav,Corporate,Home,Table,3,230,690,2
ORD034,03-02-2024,CUST034,Aadhavan,Consumer,Clothing,Jeans,3,23,69,3
ORD035,04-02-2024,CUST035,Aadhi,Consumer,Electronics,Smartphone,1,259,259,2
ORD036,05-02-2024,CUST036,Aadhiban,Corporate,Electronics,Headphones,4,493,1972,2
ORD037,06-02-2024,CUST037,Aadhidev,Consumer,Clothing,T-Shirt,4,24,96,1
ORD038,07-02-2024,CUST038,Aadhikeshavan,Consumer,Clothing,Jeans,5,38,190,3
ORD039,08-02-2024,CUST039,Aadhil,Corporate,Electronics,Laptop,5,431,2155,3
ORD040,09-02-2024,CUST040,Aadhinath,Consumer,Electronics,Headphones,3,290,870,2
ORD041,10-02-2024,CUST041,Aadhiraiyan,Consumer,Electronics,Smartphone,3,338,1014,1
ORD042,11-02-2024,CUST042,Aadhiraj,Corporate,Electronics,Headphones,5,220,1100,2
ORD043,12-02-2024,CUST043,Aadhiran,Corporate,Electronics,Headphones,1,380,380,2
ORD044,13-02-2024,CUST044,Aadhirayan,Consumer,Clothing,T-Shirt,4,44,176,2
ORD045,14-02-2024,CUST045,Aadhiren,Corporate,Electronics,Laptop,3,499,1497,2
ORD046,15-02-2024,CUST046,Aadhisan,Consumer,Electronics,Headphones,3,316,948,2
ORD047,16-02-2024,CUST047,Aadhiseshwar,Corporate,Electronics,Headphones,4,306,1224,4
ORD048,17-02-2024,CUST048,Aadhish,Consumer,Clothing,T-Shirt,5,23,115,2
ORD049,18-02-2024,CUST049,Aadhishankar,Corporate,Electronics,Laptop,4,464,1856,2
ORD050,19-02-2024,CUST050,Aadhishwaran,Consumer,Clothing,Jeans,5,23,115,3
ORD051,20-02-2024,CUST051,Aadhithan,Corporate,Clothing,Jacket,5,14,70,2
ORD052,21-02-2024,CUST052,Aadhithiya,Consumer,Electronics,Laptop,4,474,1896,1
ORD053,22-02-2024,CUST053,Aadhithya,Corporate,Home,Table,3,252,756,1
ORD054,23-02-2024,CUST054,Aadhithya varman,Corporate,Electronics,Headphones,1,361,361,1
ORD055,24-02-2024,CUST055,Aadhithyaa,Corporate,Clothing,Jeans,2,31,62,1
ORD056,25-02-2024,CUST056,Aadhityan,Consumer,Clothing,Jeans,3,46,138,2
ORD057,26-02-2024,CUST057,Aadhiyannal,Consumer,Home,Table,5,183,915,2
ORD058,27-02-2024,CUST058,Aadhunik,Corporate,Electronics,Smartphone,3,398,1194,2
ORD059,28-02-2024,CUST059,Aadhyatm,Consumer,Electronics,Headphones,2,490,980,1
ORD060,29-02-2024,CUST060,Aadi,Consumer,Clothing,Jeans,3,32,96,3
ORD061,01-03-2024,CUST061,Aadidev,Consumer,Electronics,Smartphone,3,486,1458,3
ORD062,02-03-2024,CUST062,Aadijay,Corporate,Electronics,Smartphone,5,453,2265,1
ORD063,03-03-2024,CUST063,Aadil,Consumer,Clothing,T-Shirt,2,46,92,1
